Genes	Tools				
ZNF521	MAGMA Nearest				
DMRTA2	MAGMA Nearest				
EIF4G1	MAGMA Nearest				
KLHL32	MAGMA Nearest				
NUP210	MAGMA Nearest				
KLF1	MAGMA Nearest				
ASXL3	MAGMA Nearest				
SGK223	MAGMA Nearest				
PCGF5	MAGMA Nearest				
ASIC2	MAGMA Nearest				
PURG	MAGMA Nearest				
ADK	MAGMA Nearest				
KLF14	MAGMA Nearest				
WSCD2	MAGMA Nearest				
PA2G4	MAGMA Nearest				
BCDIN3D	MAGMA Nearest				
TLR4	MAGMA Nearest				
C6orf106	MAGMA Nearest				
P2RX4	MAGMA Nearest				
HSD17B12	MAGMA Nearest				
MLXIPL	MAGMA Nearest				
GPRC5B	MAGMA Nearest				
CLUAP1	MAGMA Nearest				
GALNT16	MAGMA Nearest				
PRMT7	MAGMA Nearest				
SPOCK1	MAGMA Nearest				
PFKP	DEPICT Nearest				
PDCD6IP	DEPICT Nearest				
KCNJ3	DEPICT Nearest				
EHMT1	DEPICT Nearest				
ATXN1L	DEPICT Nearest				
EFR3A	DEPICT Nearest				
ZNF609	DEPICT Nearest				
PPP2R2C	DEPICT Nearest				
GPR88	DEPICT Nearest				
CELF4	DEPICT Nearest				
VRK1	DEPICT Nearest				
USP3	DEPICT Nearest				
MON1B	DEPICT MAGMA				
ANKRD13B	DEPICT MAGMA				
YEATS4	DEPICT MAGMA				
BUD31	DEPICT MAGMA				
HPCA	DEPICT MAGMA				
H3F3B	DEPICT MAGMA				
MOB4	DEPICT MAGMA				
PDAP1	DEPICT MAGMA				
ARHGEF26	DEPICT MAGMA				
ICA1L	DEPICT MAGMA				
ARPC1A	DEPICT MAGMA				
BBX	DEPICT MAGMA				
ZNF664	DEPICT MAGMA				
SNX32	DEPICT MAGMA				
CFL1	DEPICT MAGMA				
COPG2	DEPICT MAGMA				
PIK3R2	DEPICT MAGMA				
C16orf72	DEPICT MAGMA				
CSPG5	DEPICT MAGMA				
SETD1A	DEPICT MAGMA				
MED24	DEPICT MAGMA				
NUDCD3	DEPICT MAGMA				
STX1B	DEPICT MAGMA				
GNB1	DEPICT MAGMA				
LIN7C	DEPICT MAGMA				
MLLT11	DEPICT MAGMA				
